yaml_file,model_name,scale,task,nc,layers,parameters,gradients,gflops,error
X/Segment/yoloX-s-seg-p6.yaml,yoloX-s-seg-p6,-,segment,80,315,17755152,17755136,50.6,
X/Segment/yoloX-s-seg.yaml,yoloX-s-seg,-,segment,80,244,11222448,11222432,50.6,
v4/Classify/yolov4-csp-cls.yaml,yolov4-csp-cls-m,m,classify,80,110,18579736,18579736,50.6,
v4/Classify/yolov4-mish-cls.yaml,yolov4-mish-cls-m,m,classify,80,110,18579736,18579736,50.6,
v11/Detect/yolov11-C3k2-FasterBlock-OREPA-v10Detect.yaml,yolov11-C3k2-FasterBlock-OREPA-v10Detect-m,m,detect,80,271,41188016,41188000,50.7,
v11/Detect/yolov11-OREPA-v10Detect.yaml,yolov11-OREPA-v10Detect-m,m,detect,80,271,41188016,41188000,50.7,
11/yolo11-cls.yaml,yolo11-cls-l,l,classify,1000,176,14115624,14115624,50.8,
26/Classtify/yolo26-cls.yaml,yolo26-cls-l,l,classify,1000,176,14115624,14115624,50.8,
26/yolo26-cls.yaml,yolo26-cls-l,l,classify,1000,176,14115624,14115624,50.8,
v11/Detect/yolov11-OREPA-C2PSA-DAT-v10Detect.yaml,yolov11-OREPA-C2PSA-DAT-v10Detect-m,m,detect,80,273,41274800,41274784,50.8,
v8/Segment/yolov8-mobileone-backbone-seg.yaml,yolov8-mobileone-backbone-seg-s,s,segment,80,464,14767520,14767504,50.8,
v11/Detect/yolov11-OverLoCK.yaml,yolov11-OverLoCK-m,m,detect,80,832,26434344,26434328,51,
v11/Detect/yolov11-NFNet.yaml,yolov11-NFNet-m,m,detect,80,257,77724380,77724364,51.1,
v8/Detect/yolov8-C2f-RVB-EMA.yaml,yolov8-C2f-RVB-EMA-m,m,detect,80,386,16555024,16555008,51.2,
v11/Detect/yolov11-StripNet.yaml,yolov11-StripNet-l,l,detect,80,427,17828256,17828240,51.3,
v8/OBB/yolov8-RepNCSPELAN-obb.yaml,yolov8-RepNCSPELAN-obb-m,m,obb,80,362,18997891,18997875,51.3,
v11/Detect/yolov11-VAN.yaml,yolov11-VAN-l,l,detect,80,415,17844256,17844240,51.4,
v8/Pose/yolov8-RepNCSPELAN.yaml,yolov8-RepNCSPELAN-m,m,pose,80,362,19044859,19044843,51.5,
RTMDet/OBB/RTMDet-m-obb.yaml,RTMDet-m-obb,-,obb,80,239,18489691,18489675,51.6,
RTMDet/Pose/RTMDet-m-pose.yaml,RTMDet-m-pose,-,pose,80,239,18521107,18521091,51.7,
Other/MogaNet/v8/Detect/yolov8-MogaNet-base.yaml,yolov8-MogaNet-base-s,s,detect,80,830,16777195,16777179,51.8,
Other/FasterNet/v8/Detect/yolov8-FasterNet-M.yaml,yolov8-FasterNet-M-s,s,detect,80,260,18435964,18435948,52,
v11/Detect/yolov11-SMT.yaml,yolov11-SMT-s,s,detect,80,393,17484584,17484568,52,
v11/Pose/yolov11-PartialNet-CCFM-pose.yaml,yolov11-PartialNet-CCFM-pose-n,n,pose,80,420,28345075,28345059,52,
v12/Segment/yolov12-UNetv2-CCFM-seg.yaml,yolov12-UNetv2-CCFM-seg-s,s,segment,80,286,15262624,15262608,52.6,
v11/Pose/yolov11-LightHGNetV2-l-CCFM-pose.yaml,yolov11-LightHGNetV2-l-CCFM-pose-m,m,pose,80,272,18624817,18624801,52.7,
v6/Detect/yolov6-3.0-rtdetr.yaml,yolov6-3.0-rtdetr-s,s,detect,80,236,22938860,22938860,53.1,
Other/PartialNet/v8/Detect/yolov8-PartialNet-M.yaml,yolov8-PartialNet-M-s,s,detect,80,503,22656824,22656808,53.3,
v11/Detect/yolov11-EMOv2.yaml,yolov11-EMOv2-m,m,detect,80,464,12076072,12076056,53.3,
v4/Segment/yolov4-seg-p5.yaml,yolov4-seg-p5-s,s,segment,80,248,15666448,15666432,53.3,
v5/Segment/yolov5-seg-p2.yaml,yolov5-seg-p2-t,t,segment,80,218,5795424,5795408,53.3,
hyper-yolo/Segment/hyper-yolo-s-seg.yaml,hyper-yolo-s-seg-s,s,segment,80,239,15520256,15520240,53.5,
v11/Pose/yolov11-LWGANet-CCFM-pose.yaml,yolov11-LWGANet-CCFM-pose-m,m,pose,80,574,21263303,21263287,53.5,
v5/Detect/yolov5-CCFM.yaml,yolov5-CCFM-m,m,detect,80,219,16808992,16808976,53.5,
v11/Segment/yolov11-LightHGNetV2-l-seg.yaml,yolov11-LightHGNetV2-l-seg-s,s,segment,80,239,18241080,18241064,53.6,
v5/Detect/yolov5-ShuffleAttention.yaml,yolov5-ShuffleAttention-m,m,detect,80,204,25112032,25112016,53.6,
v8/yolov8-ghost.yaml,yolov8-ghost-l,l,detect,80,478,14277872,14277856,53.7,
v11/Detect/yolov11-EfficientNetV2.yaml,yolov11-EfficientNetV2-n,n,detect,80,637,21520192,21520176,53.8,
v11/Pose/yolov11-FasterNet-CCFM.yaml,yolov11-FasterNet-CCFM-m,m,pose,80,265,19573977,19573961,53.9,
v5/Segment/yolov5-Lite-s-seg.yaml,yolov5-Lite-s-seg-l,l,segment,80,255,3601696,3601680,53.9,
